feature,avg_importance
 ',1.3745625951460465
 j ,1.3734811961011284
sum ,1.3722610777753919
x ,1.3687164252500026
 t,1.3675390680950357
 i++,1.3532342088087081
 len,1.3524450302089859
 las,1.348988512488063
 last,1.348988512488063
nte,1.3471907633344915
 tr,1.3330699784335978
dd,1.3286461229294493
+= ,1.318771136500951
 int,1.3170375269806303
[i ,1.3107437944508917
ru,1.309395396078024
+; ,1.3066759368743406
++; ,1.3066759368743406
p ,1.2938452699021614
> ,1.2875636420701664
 +=,1.2838408745916576
ll,1.2820269685940227
13,1.279795995226665
i ,1.276931467870776
ke,1.2717349838324437
 str.s,1.2715490597498578
da,1.2599972760113864
+;,1.2446061284529937
++;,1.2446061284529937
t ,1.2409500039910877
ms[i] ,1.239270634180096
ck,1.237950393667994
s[i] ,1.2369236357604252
 tru,1.22413584073838
turn ,1.2211481208690338
eturn ,1.2211481208690338
rs,1.221128715935186
rn ,1.2209446166103954
urn ,1.2209446166103954
le,1.2178158203311686
las,1.2155160182276734
 > ,1.2148536576851707
i++) ,1.21299739868337
= ,1.2116133733436283
er ,1.2092363398337667
ult.,1.208437595935798
esult.,1.208437595935798
lt.,1.208437595935798
sult.,1.208437595935798
 n),1.1864101135587202
g ,1.1855046558274593
2),1.1840261972255788
or ,1.1837445854464563
int ,1.1659390202475128
ap,1.1656203166162245
 true,1.1597577535000232
last,1.1588015396898181
 n) ,1.1502301342007974
; ,1.1450607119164744
di,1.1425236129566336
 ma,1.1409671812967292
art,1.1340969276747428
at(i),1.12876708986675
rat(i),1.12876708986675
nums,1.1278633172679986
 la,1.1259332344413648
 val,1.1053929751175542
nt ,1.1032207906423759
ts,1.0986516806714233
];,1.0939874852700924
all,1.0891313056496736
 6,1.0852401369434186
c ,1.081246359795037
end,1.0769084540610452
int,1.0725626902682015
 (n,1.0650011781009323
hi,1.0644914304499422
+=,1.0644097031858561
>=,1.0635308024991632
ength ,1.052040997495237
ngth ,1.052040997495237
gth ,1.052040997495237
(); ,1.051293215690881
 le,1.050668571664234
 a,1.0486144980045835
 c),1.0473520107274865
ms,1.0467968234911837
ums,1.0467968234911837
fi,1.045902763223975
]; ,1.0458453738905173
nd ,1.0335330251441146
eed,1.0280982933357776
em,1.022291203192891
ir,1.0221204825940884
 (a,1.0136212991321405
();,1.0134712763445768
h();,1.0133951987305105
gth();,1.0133951987305105
th();,1.0133951987305105
it,1.012932665124188
 3,1.0112060296811018
ea,1.0105598131453446
fiz,1.0048229341293875
"z""",1.0044022275332811
e),1.002587618927657
 ne,0.9970562561597216
the,0.9933768702997379
ai,0.992497109274737
ti,0.9923257876826548
 0;,0.9910411845098754
si,0.9897271326781418
the ,0.9882822107554539
 for ,0.9882428548989077
he ,0.9868806210188621
"a,",0.9840076844064576
"a, ",0.9840076844064576
h(); ,0.9794019490008783
th(); ,0.9794019490008783
for ,0.9793914211316239
 <= ,0.9771720826943442
 e,0.9766641540037284
 the ,0.9689597020224492
h;,0.9677619002378314
ue,0.963759826939192
er,0.9588813858559369
temp,0.9576765038285833
tr,0.9490961883043882
 /,0.9416947868155865
at,0.9400961779381554
ast,0.9395205199531785
th;,0.9375496467544491
een,0.9365194471320344
new,0.933811952195311
 str.l,0.9336955516768539
ew,0.932814510269588
th ,0.9313557546941253
[i,0.9289090306611685
1],0.9266868263854806
e ,0.92075853810438
 (nums,0.9206442184324161
ump,0.9182191066623453
clump,0.9182191066623453
lump,0.9182191066623453
qu,0.9061049561493352
num,0.9026784645910771
 the,0.901976503813237
 i+,0.8992320451106821
 d,0.8979332733985654
 mi,0.8970683061846412
ee,0.8966197999972071
1;,0.8923320567528698
rs ,0.8838012439786969
 0; ,0.8807559472689932
 j,0.8726073293492638
ength;,0.867007003432076
ngth;,0.867007003432076
gth;,0.867007003432076
 (num,0.8592448024434688
 (nu,0.8592448024434688
t(i),0.8557072566328162
clu,0.8406481482156052
lum,0.8378075075837907
clum,0.8378075075837907
i++),0.8343018392987511
e) ,0.8322338525906942
 1),0.8285880234713466
 i,0.826581361051019
mo,0.8159365310332626
<= ,0.8089364676288378
 ar,0.8063844030371077
.l,0.7999393010782562
 new,0.7987124937999788
 retur,0.7978185502611781
ere,0.7922831517107322
nd,0.7915688138313476
b.,0.7895863734975295
rue;,0.7884300672613238
true;,0.7884300672613238
ms.,0.7875802497180335
